"","county","cbsa","region","state","zip","year","Bedrooms","Rent"
"105","Chelan County","48300","Wenatchee-East Wenatchee","WA",98828,2012,"Four Bedrooms",1090
"106","Chelan County","48300","Wenatchee-East Wenatchee","WA",98831,2012,"Studio",440
"107","Chelan County","48300","Wenatchee-East Wenatchee","WA",98831,2012,"One Bedroom",470
"108","Chelan County","48300","Wenatchee-East Wenatchee","WA",98831,2012,"Two Bedrooms",590
"109","Chelan County","48300","Wenatchee-East Wenatchee","WA",98831,2012,"Three Bedrooms",800
"110","Chelan County","48300","Wenatchee-East Wenatchee","WA",98831,2012,"Four Bedrooms",920
"111","Chelan County","48300","Wenatchee-East Wenatchee","WA",98836,2012,"Studio",530
"112","Chelan County","48300","Wenatchee-East Wenatchee","WA",98836,2012,"One Bedroom",560
"113","Chelan County","48300","Wenatchee-East Wenatchee","WA",98836,2012,"Two Bedrooms",710
"114","Chelan County","48300","Wenatchee-East Wenatchee","WA",98836,2012,"Three Bedrooms",960
"115","Chelan County","48300","Wenatchee-East Wenatchee","WA",98836,2012,"Four Bedrooms",1100
"116","Chelan County","48300","Wenatchee-East Wenatchee","WA",98847,2012,"Studio",430
"117","Chelan County","48300","Wenatchee-East Wenatchee","WA",98847,2012,"One Bedroom",460
"118","Chelan County","48300","Wenatchee-East Wenatchee","WA",98847,2012,"Two Bedrooms",580
"119","Chelan County","48300","Wenatchee-East Wenatchee","WA",98847,2012,"Three Bedrooms",780
"120","Chelan County","48300","Wenatchee-East Wenatchee","WA",98847,2012,"Four Bedrooms",900
"121","Chelan County","48300","Wenatchee-East Wenatchee","WA",98852,2012,"Studio",530
"122","Chelan County","48300","Wenatchee-East Wenatchee","WA",98852,2012,"One Bedroom",560
"123","Chelan County","48300","Wenatchee-East Wenatchee","WA",98852,2012,"Two Bedrooms",710
"124","Chelan County","48300","Wenatchee-East Wenatchee","WA",98852,2012,"Three Bedrooms",960
"125","Chelan County","48300","Wenatchee-East Wenatchee","WA",98852,2012,"Four Bedrooms",1100
"126","Cowlitz County","31020","Longview","WA",98581,2012,"Studio",480
"127","Cowlitz County","31020","Longview","WA",98581,2012,"One Bedroom",600
"128","Cowlitz County","31020","Longview","WA",98581,2012,"Two Bedrooms",700
"129","Cowlitz County","31020","Longview","WA",98581,2012,"Three Bedrooms",1020
"130","Cowlitz County","31020","Longview","WA",98581,2012,"Four Bedrooms",1160
"131","Cowlitz County","31020","Longview","WA",98601,2012,"Studio",480
"132","Cowlitz County","31020","Longview","WA",98601,2012,"One Bedroom",600
"133","Cowlitz County","31020","Longview","WA",98601,2012,"Two Bedrooms",700
"134","Cowlitz County","31020","Longview","WA",98601,2012,"Three Bedrooms",1020
"135","Cowlitz County","31020","Longview","WA",98601,2012,"Four Bedrooms",1160
"136","Cowlitz County","31020","Longview","WA",98603,2012,"Studio",450
"137","Cowlitz County","31020","Longview","WA",98603,2012,"One Bedroom",560
"138","Cowlitz County","31020","Longview","WA",98603,2012,"Two Bedrooms",650
"139","Cowlitz County","31020","Longview","WA",98603,2012,"Three Bedrooms",950
"140","Cowlitz County","31020","Longview","WA",98603,2012,"Four Bedrooms",1080
"141","Cowlitz County","31020","Longview","WA",98609,2012,"Studio",480
"142","Cowlitz County","31020","Longview","WA",98609,2012,"One Bedroom",600
"143","Cowlitz County","31020","Longview","WA",98609,2012,"Two Bedrooms",700
"144","Cowlitz County","31020","Longview","WA",98609,2012,"Three Bedrooms",1020
"145","Cowlitz County","31020","Longview","WA",98609,2012,"Four Bedrooms",1160
"146","Cowlitz County","31020","Longview","WA",98611,2012,"Studio",460
"147","Cowlitz County","31020","Longview","WA",98611,2012,"One Bedroom",580
"148","Cowlitz County","31020","Longview","WA",98611,2012,"Two Bedrooms",670
"149","Cowlitz County","31020","Longview","WA",98611,2012,"Three Bedrooms",980
"150","Cowlitz County","31020","Longview","WA",98611,2012,"Four Bedrooms",1110
"151","Cowlitz County","31020","Longview","WA",98616,2012,"Studio",480
"152","Cowlitz County","31020","Longview","WA",98616,2012,"One Bedroom",600
"153","Cowlitz County","31020","Longview","WA",98616,2012,"Two Bedrooms",700
"154","Cowlitz County","31020","Longview","WA",98616,2012,"Three Bedrooms",1020
"155","Cowlitz County","31020","Longview","WA",98616,2012,"Four Bedrooms",1160
"156","Cowlitz County","31020","Longview","WA",98625,2012,"Studio",610
"157","Cowlitz County","31020","Longview","WA",98625,2012,"One Bedroom",770
"158","Cowlitz County","31020","Longview","WA",98625,2012,"Two Bedrooms",890
"159","Cowlitz County","31020","Longview","WA",98625,2012,"Three Bedrooms",1300
"160","Cowlitz County","31020","Longview","WA",98625,2012,"Four Bedrooms",1480
"161","Cowlitz County","31020","Longview","WA",98626,2012,"Studio",470
"162","Cowlitz County","31020","Longview","WA",98626,2012,"One Bedroom",590
"163","Cowlitz County","31020","Longview","WA",98626,2012,"Two Bedrooms",680
"164","Cowlitz County","31020","Longview","WA",98626,2012,"Three Bedrooms",990
"165","Cowlitz County","31020","Longview","WA",98626,2012,"Four Bedrooms",1130
"166","Cowlitz County","31020","Longview","WA",98632,2012,"Studio",450
"167","Cowlitz County","31020","Longview","WA",98632,2012,"One Bedroom",560
"168","Cowlitz County","31020","Longview","WA",98632,2012,"Two Bedrooms",650
"169","Cowlitz County","31020","Longview","WA",98632,2012,"Three Bedrooms",950
"170","Cowlitz County","31020","Longview","WA",98632,2012,"Four Bedrooms",1080
"171","Cowlitz County","31020","Longview","WA",98645,2012,"Studio",510
"172","Cowlitz County","31020","Longview","WA",98645,2012,"One Bedroom",650
"173","Cowlitz County","31020","Longview","WA",98645,2012,"Two Bedrooms",750
"174","Cowlitz County","31020","Longview","WA",98645,2012,"Three Bedrooms",1090
"175","Cowlitz County","31020","Longview","WA",98645,2012,"Four Bedrooms",1250
"176","Cowlitz County","31020","Longview","WA",98649,2012,"Studio",490
"177","Cowlitz County","31020","Longview","WA",98649,2012,"One Bedroom",610
"178","Cowlitz County","31020","Longview","WA",98649,2012,"Two Bedrooms",710
"179","Cowlitz County","31020","Longview","WA",98649,2012,"Three Bedrooms",1030
"180","Cowlitz County","31020","Longview","WA",98649,2012,"Four Bedrooms",1180
"181","Cowlitz County","31020","Longview","WA",98674,2012,"Studio",510
"182","Cowlitz County","31020","Longview","WA",98674,2012,"One Bedroom",640
"183","Cowlitz County","31020","Longview","WA",98674,2012,"Two Bedrooms",740
"184","Cowlitz County","31020","Longview","WA",98674,2012,"Three Bedrooms",1080
"185","Cowlitz County","31020","Longview","WA",98674,2012,"Four Bedrooms",1230
"186","Douglas County","48300","Wenatchee-East Wenatchee","WA",98802,2012,"Studio",580
"187","Douglas County","48300","Wenatchee-East Wenatchee","WA",98802,2012,"One Bedroom",620
"188","Douglas County","48300","Wenatchee-East Wenatchee","WA",98802,2012,"Two Bedrooms",780
"189","Douglas County","48300","Wenatchee-East Wenatchee","WA",98802,2012,"Three Bedrooms",1050
"190","Douglas County","48300","Wenatchee-East Wenatchee","WA",98802,2012,"Four Bedrooms",1210
"191","Douglas County","48300","Wenatchee-East Wenatchee","WA",98812,2012,"Studio",570
"192","Douglas County","48300","Wenatchee-East Wenatchee","WA",98812,2012,"One Bedroom",600
"193","Douglas County","48300","Wenatchee-East Wenatchee","WA",98812,2012,"Two Bedrooms",760
"194","Douglas County","48300","Wenatchee-East Wenatchee","WA",98812,2012,"Three Bedrooms",1030
"195","Douglas County","48300","Wenatchee-East Wenatchee","WA",98812,2012,"Four Bedrooms",1180
"196","Douglas County","48300","Wenatchee-East Wenatchee","WA",98813,2012,"Studio",430
"197","Douglas County","48300","Wenatchee-East Wenatchee","WA",98813,2012,"One Bedroom",460
"198","Douglas County","48300","Wenatchee-East Wenatchee","WA",98813,2012,"Two Bedrooms",580
"199","Douglas County","48300","Wenatchee-East Wenatchee","WA",98813,2012,"Three Bedrooms",780
"200","Douglas County","48300","Wenatchee-East Wenatchee","WA",98813,2012,"Four Bedrooms",900
"201","Douglas County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Studio",490
"202","Douglas County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"One Bedroom",520
"203","Douglas County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Two Bedrooms",660
"204","Douglas County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Three Bedrooms",890
"205","Douglas County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Four Bedrooms",1020
"206","Douglas County","48300","Wenatchee-East Wenatchee","WA",98823,2012,"Studio",570
"207","Douglas County","48300","Wenatchee-East Wenatchee","WA",98823,2012,"One Bedroom",600
"208","Douglas County","48300","Wenatchee-East Wenatchee","WA",98823,2012,"Two Bedrooms",760
"209","Douglas County","48300","Wenatchee-East Wenatchee","WA",98823,2012,"Three Bedrooms",1030
"210","Douglas County","48300","Wenatchee-East Wenatchee","WA",98823,2012,"Four Bedrooms",1180
"211","Douglas County","48300","Wenatchee-East Wenatchee","WA",98830,2012,"Studio",470
"212","Douglas County","48300","Wenatchee-East Wenatchee","WA",98830,2012,"One Bedroom",500
"213","Douglas County","48300","Wenatchee-East Wenatchee","WA",98830,2012,"Two Bedrooms",630
"214","Douglas County","48300","Wenatchee-East Wenatchee","WA",98830,2012,"Three Bedrooms",850
"215","Douglas County","48300","Wenatchee-East Wenatchee","WA",98830,2012,"Four Bedrooms",980
"216","Douglas County","48300","Wenatchee-East Wenatchee","WA",98843,2012,"Studio",510
"217","Douglas County","48300","Wenatchee-East Wenatchee","WA",98843,2012,"One Bedroom",540
"218","Douglas County","48300","Wenatchee-East Wenatchee","WA",98843,2012,"Two Bedrooms",680
"219","Douglas County","48300","Wenatchee-East Wenatchee","WA",98843,2012,"Three Bedrooms",920
"220","Douglas County","48300","Wenatchee-East Wenatchee","WA",98843,2012,"Four Bedrooms",1060
"221","Douglas County","48300","Wenatchee-East Wenatchee","WA",98845,2012,"Studio",570
"222","Douglas County","48300","Wenatchee-East Wenatchee","WA",98845,2012,"One Bedroom",600
"223","Douglas County","48300","Wenatchee-East Wenatchee","WA",98845,2012,"Two Bedrooms",760
"224","Douglas County","48300","Wenatchee-East Wenatchee","WA",98845,2012,"Three Bedrooms",1030
"225","Douglas County","48300","Wenatchee-East Wenatchee","WA",98845,2012,"Four Bedrooms",1180
"226","Douglas County","48300","Wenatchee-East Wenatchee","WA",98848,2012,"Studio",570
"227","Douglas County","48300","Wenatchee-East Wenatchee","WA",98848,2012,"One Bedroom",600
"228","Douglas County","48300","Wenatchee-East Wenatchee","WA",98848,2012,"Two Bedrooms",760
"229","Douglas County","48300","Wenatchee-East Wenatchee","WA",98848,2012,"Three Bedrooms",1030
"230","Douglas County","48300","Wenatchee-East Wenatchee","WA",98848,2012,"Four Bedrooms",1180
"231","Douglas County","48300","Wenatchee-East Wenatchee","WA",98850,2012,"Studio",580
"232","Douglas County","48300","Wenatchee-East Wenatchee","WA",98850,2012,"One Bedroom",610
"233","Douglas County","48300","Wenatchee-East Wenatchee","WA",98850,2012,"Two Bedrooms",770
"234","Douglas County","48300","Wenatchee-East Wenatchee","WA",98850,2012,"Three Bedrooms",1040
"235","Douglas County","48300","Wenatchee-East Wenatchee","WA",98850,2012,"Four Bedrooms",1200
"236","Douglas County","48300","Wenatchee-East Wenatchee","WA",98858,2012,"Studio",540
"237","Douglas County","48300","Wenatchee-East Wenatchee","WA",98858,2012,"One Bedroom",570
"238","Douglas County","48300","Wenatchee-East Wenatchee","WA",98858,2012,"Two Bedrooms",720
"239","Douglas County","48300","Wenatchee-East Wenatchee","WA",98858,2012,"Three Bedrooms",970
"240","Douglas County","48300","Wenatchee-East Wenatchee","WA",98858,2012,"Four Bedrooms",1120
"241","Douglas County","48300","Wenatchee-East Wenatchee","WA",99115,2012,"Studio",570
"242","Douglas County","48300","Wenatchee-East Wenatchee","WA",99115,2012,"One Bedroom",600
"243","Douglas County","48300","Wenatchee-East Wenatchee","WA",99115,2012,"Two Bedrooms",760
"244","Douglas County","48300","Wenatchee-East Wenatchee","WA",99115,2012,"Three Bedrooms",1030
"245","Douglas County","48300","Wenatchee-East Wenatchee","WA",99115,2012,"Four Bedrooms",1180
"246","Douglas County","48300","Wenatchee-East Wenatchee","WA",99116,2012,"Studio",520
"247","Douglas County","48300","Wenatchee-East Wenatchee","WA",99116,2012,"One Bedroom",550
"248","Douglas County","48300","Wenatchee-East Wenatchee","WA",99116,2012,"Two Bedrooms",690
"249","Douglas County","48300","Wenatchee-East Wenatchee","WA",99116,2012,"Three Bedrooms",930
"250","Douglas County","48300","Wenatchee-East Wenatchee","WA",99116,2012,"Four Bedrooms",1070
"251","Douglas County","48300","Wenatchee-East Wenatchee","WA",99133,2012,"Studio",570
"252","Douglas County","48300","Wenatchee-East Wenatchee","WA",99133,2012,"One Bedroom",600
"253","Douglas County","48300","Wenatchee-East Wenatchee","WA",99133,2012,"Two Bedrooms",760
"254","Douglas County","48300","Wenatchee-East Wenatchee","WA",99133,2012,"Three Bedrooms",1030
"255","Douglas County","48300","Wenatchee-East Wenatchee","WA",99133,2012,"Four Bedrooms",1180
"256","Franklin County","28420","Kennewick-Pasco-Richland","WA",99301,2012,"Studio",500
"257","Franklin County","28420","Kennewick-Pasco-Richland","WA",99301,2012,"One Bedroom",540
"258","Franklin County","28420","Kennewick-Pasco-Richland","WA",99301,2012,"Two Bedrooms",680
"259","Franklin County","28420","Kennewick-Pasco-Richland","WA",99301,2012,"Three Bedrooms",920
"260","Franklin County","28420","Kennewick-Pasco-Richland","WA",99301,2012,"Four Bedrooms",1090
"261","Franklin County","28420","Kennewick-Pasco-Richland","WA",99326,2012,"Studio",460
"262","Franklin County","28420","Kennewick-Pasco-Richland","WA",99326,2012,"One Bedroom",500
"263","Franklin County","28420","Kennewick-Pasco-Richland","WA",99326,2012,"Two Bedrooms",630
"264","Franklin County","28420","Kennewick-Pasco-Richland","WA",99326,2012,"Three Bedrooms",850
"265","Franklin County","28420","Kennewick-Pasco-Richland","WA",99326,2012,"Four Bedrooms",1010
"266","Franklin County","28420","Kennewick-Pasco-Richland","WA",99330,2012,"Studio",610
"267","Franklin County","28420","Kennewick-Pasco-Richland","WA",99330,2012,"One Bedroom",670
"268","Franklin County","28420","Kennewick-Pasco-Richland","WA",99330,2012,"Two Bedrooms",840
"269","Franklin County","28420","Kennewick-Pasco-Richland","WA",99330,2012,"Three Bedrooms",1140
"270","Franklin County","28420","Kennewick-Pasco-Richland","WA",99330,2012,"Four Bedrooms",1350
"271","Franklin County","28420","Kennewick-Pasco-Richland","WA",99335,2012,"Studio",540
"272","Franklin County","28420","Kennewick-Pasco-Richland","WA",99335,2012,"One Bedroom",590
"273","Franklin County","28420","Kennewick-Pasco-Richland","WA",99335,2012,"Two Bedrooms",740
"274","Franklin County","28420","Kennewick-Pasco-Richland","WA",99335,2012,"Three Bedrooms",1000
"275","Franklin County","28420","Kennewick-Pasco-Richland","WA",99335,2012,"Four Bedrooms",1190
"276","Franklin County","28420","Kennewick-Pasco-Richland","WA",99343,2012,"Studio",440
"277","Franklin County","28420","Kennewick-Pasco-Richland","WA",99343,2012,"One Bedroom",480
"278","Franklin County","28420","Kennewick-Pasco-Richland","WA",99343,2012,"Two Bedrooms",600
"279","Franklin County","28420","Kennewick-Pasco-Richland","WA",99343,2012,"Three Bedrooms",810
"280","Franklin County","28420","Kennewick-Pasco-Richland","WA",99343,2012,"Four Bedrooms",960
"281","Franklin County","28420","Kennewick-Pasco-Richland","WA",99344,2012,"Studio",510
"282","Franklin County","28420","Kennewick-Pasco-Richland","WA",99344,2012,"One Bedroom",560
"283","Franklin County","28420","Kennewick-Pasco-Richland","WA",99344,2012,"Two Bedrooms",700
"284","Franklin County","28420","Kennewick-Pasco-Richland","WA",99344,2012,"Three Bedrooms",950
"285","Franklin County","28420","Kennewick-Pasco-Richland","WA",99344,2012,"Four Bedrooms",1120
"286","Franklin County","28420","Kennewick-Pasco-Richland","WA",99359,2012,"Studio",510
"287","Franklin County","28420","Kennewick-Pasco-Richland","WA",99359,2012,"One Bedroom",560
"288","Franklin County","28420","Kennewick-Pasco-Richland","WA",99359,2012,"Two Bedrooms",700
"289","Franklin County","28420","Kennewick-Pasco-Richland","WA",99359,2012,"Three Bedrooms",950
"290","Franklin County","28420","Kennewick-Pasco-Richland","WA",99359,2012,"Four Bedrooms",1120
